timestamp,index,name,memory.used [MiB],memory.total [MiB],utilization.gpu [%],utilization.memory [%]
2026/05/14 00:18:32.141, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:32.147, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:37.149, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:37.151, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:42.153, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:42.154, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:47.156, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:47.158, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:52.160, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:52.162, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:57.163, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:18:57.166, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:02.168, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:02.169, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:07.171, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:07.173, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:12.174, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:12.178, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:17.181, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:17.183, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:22.185, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:22.186, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:27.188, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:27.189, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:32.191, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:32.193, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:37.194, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:37.197, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:42.198, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:42.199, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:47.202, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:47.204, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:52.206, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:52.208, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/14 00:19:57.209, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
